,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
12,MarJon Beauchamp,2:14,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,0,0,-6,202303290INDMIL,2,14,2.2333333333333334,0.009305555555555558,0.0,0.0,-0.8564178739060305,1.3865277777777782,-1.3354643230322365,1.3865277777777782,0.0,0.0
13,Joe Ingles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303290INDMIL,0,0,0.0,0.0,0.0,,,0.0,-1.5192515604095596,0.0,0.0,0.0
0,Giannis Antetokounmpo,25:17,11,27,.407,0,5,.000,2,3,.667,1,6,7,2,1,1,0,2,24,-32,202303300MILMIL,25,17,25.283333333333335,0.10534722222222224,0.24242424242424243,0.9492419248516809,1.5286237783685723,10.429375000000002,1.462515584954918,-13.570624999999998,606.8000000000001,0.31369440471472143
1,Jrue Holiday,23:37,2,8,.250,2,4,.500,0,0,,1,5,6,4,0,0,3,0,6,-24,202303300MILMIL,23,37,23.616666666666667,0.0984027777777778,0.06060606060606061,0.25405786873676783,-0.4517891519316435,9.741875000000002,1.1630827363241951,3.741875000000002,141.7,0.07325395047474624
2,Grayson Allen,21:49,1,4,.250,1,3,.333,0,0,,1,0,1,0,1,0,0,0,3,-25,202303300MILMIL,21,49,21.816666666666666,0.09090277777777779,0.030303030303030304,0.13750954927425516,-0.7838074093097547,8.999375,0.8396952598030136,5.999375000000001,65.45,0.03383536385724871
3,Khris Middleton,19:55,5,13,.385,1,4,.250,2,2,1.000,2,3,5,4,0,0,1,2,13,-25,202303300MILMIL,19,55,19.916666666666668,0.08298611111111112,0.13131313131313133,0.6527196652719665,0.6839028561493292,8.215625000000001,0.4983418123639896,-4.784374999999999,258.9166666666667,0.1338508728093605
4,Brook Lopez,19:54,3,6,.500,0,1,.000,2,2,1.000,3,2,5,0,0,0,2,1,8,-16,202303300MILMIL,19,54,19.9,0.08291666666666667,0.08080808080808081,0.4020100502512563,-0.030308810488105034,8.20875,0.495347483877682,0.2087500000000002,159.2,0.08230083920663092
6,Bobby Portis,20:22,5,14,.357,2,6,.333,0,0,,4,6,10,0,0,0,2,1,12,-25,202303300MILMIL,20,22,20.366666666666667,0.08486111111111112,0.12121212121212122,0.5891980360065466,0.5029449431413536,8.401250000000001,0.5791886814942848,-3.598749999999999,244.4,0.1263462632041495
7,Jevon Carter,19:55,2,9,.222,2,8,.250,2,2,1.000,0,1,1,0,0,0,1,1,8,-20,202303300MILMIL,19,55,19.916666666666668,0.08298611111111112,0.08080808080808081,0.401673640167364,-0.03126716227158372,8.215625000000001,0.4983418123639896,0.21562500000000107,159.33333333333334,0.0823697678826834
8,Pat Connaughton,16:24,3,4,.750,2,2,1.000,0,0,,1,1,2,3,0,0,1,0,8,-2,202303300MILMIL,16,24,16.4,0.06833333333333333,0.08080808080808081,0.48780487804878053,0.21410011234111995,6.765,-0.13346149824683656,-1.2350000000000003,131.2,0.06782581723561544
9,Jae Crowder,15:57,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,2,0,-17,202303300MILMIL,15,57,15.95,0.06645833333333334,0.0,0.0,-1.1755391917450446,6.579375000000001,-0.21430836737713138,6.579375000000001,0.0,0.0
10,Joe Ingles,15:53,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,-18,202303300MILMIL,15,53,15.883333333333333,0.06618055555555556,0.0,0.0,-1.1755391917450446,6.551875000000001,-0.22628568132236024,6.551875000000001,0.0,0.0
11,Wesley Matthews,15:43,2,5,.400,0,3,.000,0,0,,1,1,2,3,0,0,1,2,4,-8,202303300MILMIL,15,43,15.716666666666667,0.06548611111111112,0.04040404040404041,0.2545068928950159,-0.4505099896131328,6.483125000000001,-0.2562289661854324,2.483125000000001,62.86666666666667,0.032499870758732397
12,MarJon Beauchamp,10:14,1,3,.333,1,2,.500,0,0,,1,2,3,0,1,0,1,1,3,+1,202303300MILMIL,10,14,10.233333333333333,0.04263888888888889,0.030303030303030304,0.2931596091205212,-0.3403976555759979,4.22125,-1.2413630381805114,1.2212500000000004,30.699999999999996,0.015870827661077697
13,Thanasis Antetokounmpo,7:39,0,0,,0,0,,1,4,.250,0,0,0,1,0,0,1,3,1,+1,202303300MILMIL,7,39,7.65,0.03187500000000001,0.010101010101010102,0.13071895424836602,-0.803152188689275,3.1556250000000006,-1.705483953558132,2.1556250000000006,7.65,0.00395478278850959
14,Goran Dragić,7:21,3,5,.600,3,3,1.000,0,0,,0,2,2,1,1,0,0,0,9,+5,202303300MILMIL,7,21,7.35,0.030625000000000003,0.09090909090909091,1.2244897959183674,2.312739061369205,3.0318750000000003,-1.7593818663116623,-5.968125,66.14999999999999,0.03419723940652409
